name	system	score	length	NonEffector.prob	T1SE.prob	T2SE.prob	T3SE.prob	T4SE.prob	T6SE.prob	assembly	replicon	protein_id	location	annotation	locus_tag	gene
CP002745.1_prot_0017	III	0.4543	228	0.0702	0.0792	0.0039	0.4543	0.0952	0.2972	GCA_000221045	CP002745.1	AEK59856.1	complement(26252..26938)	hypothetical protein	CFU_0017	
CP002745.1_prot_0020	II	0.7051	997	0.0351	0.111	0.7051	0.0935	0.0026	0.0527	GCA_000221045	CP002745.1	AEK59859.1	complement(29338..32331)	Beta-galactosidase	CFU_0020	bga
CP002745.1_prot_0021	VI	0.5939	220	0.0576	0.0028	0.0008	0.1483	0.1966	0.5939	GCA_000221045	CP002745.1	AEK59860.1	complement(32750..33412)	hypothetical protein	CFU_0021	
CP002745.1_prot_0023	VI	0.9928	668	0.0046	0.0012	0.0002	0.0002	0.001	0.9928	GCA_000221045	CP002745.1	AEK59862.1	complement(34792..36798)	putative phospholipase protein	CFU_0023	
CP002745.1_prot_0024	VI	0.997	905	0.0021	0.0008	0.0	0.0001	0.0	0.997	GCA_000221045	CP002745.1	AEK59863.1	complement(37578..40295)	Rhs element Vgr protein	CFU_0024	
CP002745.1_prot_0028	III	0.7196	673	0.0224	0.0062	0.0002	0.7196	0.0848	0.1668	GCA_000221045	CP002745.1	AEK59867.1	complement(43178..45199)	hypothetical protein	CFU_0028	
CP002745.1_prot_0030	II	0.4896	821	0.4176	0.0419	0.4896	0.0091	0.0069	0.0349	GCA_000221045	CP002745.1	AEK59869.1	complement(46834..49299)	non-hemolytic phospholipase C	CFU_0030	
CP002745.1_prot_0034	II	0.7568	743	0.1355	0.0295	0.7568	0.0017	0.0668	0.0098	GCA_000221045	CP002745.1	AEK59873.1	53354..55585	2';3'-cyclic-nucleotide 2'-phosphodiesterase	CFU_0034	cpdB
CP002745.1_prot_0042	II	0.5571	654	0.4078	0.0152	0.5571	0.0042	0.0033	0.0124	GCA_000221045	CP002745.1	AEK59881.1	61582..63546	Arylsulfatase	CFU_0042	atsA
CP002745.1_prot_0050	III	0.7988	76	0.1356	0.0018	0.0002	0.7988	0.0603	0.0033	GCA_000221045	CP002745.1	AEK59889.1	complement(73687..73917)	hypothetical protein	CFU_0050	
CP002745.1_prot_0059	III	0.6797	328	0.211	0.0024	0.0028	0.6797	0.004	0.1001	GCA_000221045	CP002745.1	AEK59898.1	87353..88339	hypothetical protein	CFU_0059	
CP002745.1_prot_0063	VI	0.9989	749	0.0002	0.0008	0.0	0.0001	0.0	0.9989	GCA_000221045	CP002745.1	AEK59902.1	91425..93674	hypothetical protein	CFU_0063	vrgS
CP002745.1_prot_0065	VI	0.9935	1464	0.0042	0.0016	0.0001	0.0003	0.0004	0.9935	GCA_000221045	CP002745.1	AEK59904.1	95358..99752	hypothetical protein	CFU_0065	
CP002745.1_prot_0072	VI	0.9997	163	0.0002	0.0001	0.0	0.0	0.0	0.9997	GCA_000221045	CP002745.1	AEK59911.1	complement(107278..107769)	Putative cytoplasmic protein USSDB7A	CFU_0072	
CP002745.1_prot_0079	VI	0.9956	883	0.0033	0.0009	0.0	0.0001	0.0	0.9956	GCA_000221045	CP002745.1	AEK59918.1	113553..116204	Rhs element Vgr protein	CFU_0079	
CP002745.1_prot_0097	III	0.9012	179	0.0052	0.0043	0.0008	0.9012	0.0634	0.0251	GCA_000221045	CP002745.1	AEK59936.1	135386..135925	hypothetical protein	CFU_0098	
CP002745.1_prot_0114	III	0.8528	89	0.0067	0.002	0.0005	0.8528	0.1373	0.0008	GCA_000221045	CP002745.1	AEK59953.1	complement(149250..149519)	hypothetical protein	CFU_0115	
CP002745.1_prot_0117	II	0.5882	348	0.3652	0.0061	0.5882	0.0065	0.009	0.025	GCA_000221045	CP002745.1	AEK59956.1	151468..152514	putative poly(3-hydroxybutyrate) depolymerase	CFU_0118	
CP002745.1_prot_0127	III	0.7944	272	0.1579	0.0032	0.001	0.7944	0.0356	0.0079	GCA_000221045	CP002745.1	AEK59966.1	159528..160346	protein serine/threonine phosphatase	CFU_0128	
